case_id,activity,timestamp,resource,department,supplier,amount,amount_category,variant
PO-2024-00040,見積依頼_送付,2024-04-03 16:50:02,購買_D,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00198,上位承認_エスカレーション,2024-04-03 17:12:52,部長_C,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,購買依頼_差戻し,2024-04-04 08:14:48,課長_F,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,購買依頼_承認,2024-04-04 08:56:52,課長_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,見積依頼_送付,2024-04-04 15:38:23,購買_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,見積書_受領,2024-04-04 23:20:48,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,見積書_受領,2024-04-05 07:54:29,購買_D,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,サプライヤー_選定,2024-04-05 12:05:06,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00199,購買依頼_作成,2024-04-05 13:08:18,担当者_G2,総務部,アジア商事,466700,中口,REQ-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,見積書_受領,2024-04-05 13:20:27,購買_E,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,発注書_作成,2024-04-05 13:52:55,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00267,購買依頼_作成,2024-04-05 16:23:00,担当者_B5,営業部,グローバルパーツJP,1264000,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-MISMATCH-INVFIX-INV2-MATCH2-PAPR-PAY
PO-2024-00439,見積書_受領,2024-04-06 19:48:36,購買_A,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,見積書_受領,2024-04-08 01:24:11,購買_B,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00198,緊急承認_処理,2024-04-08 08:13:19,役員_A,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,購買依頼_再申請,2024-04-08 08:19:33,担当者_E1,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00439,サプライヤー_選定,2024-04-08 08:27:21,購買_A,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00267,購買依頼_承認,2024-04-08 08:31:35,課長_C,営業部,グローバルパーツJP,1264000,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-MISMATCH-INVFIX-INV2-MATCH2-PAPR-PAY
PO-2024-00199,購買依頼_承認,2024-04-08 08:34:22,課長_A,総務部,アジア商事,466700,中口,REQ-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,発注書_承認,2024-04-08 08:36:42,課長_C,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,サプライヤー_選定,2024-04-08 08:38:48,購買_D,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,サプライヤー_選定,2024-04-08 08:44:48,購買_B,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00460,サプライヤー_選定,2024-04-08 08:46:54,購買_E,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00488,購買依頼_作成,2024-04-08 09:15:50,担当者_B4,製造部,大阪精密製作所,8502800,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,購買依頼_作成,2024-04-08 09:16:30,担当者_F5,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00231,購買依頼_作成,2024-04-08 10:10:21,担当者_B2,製造部,中部機械製作所,21651000,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00198,見積依頼_送付,2024-04-08 11:11:28,購買_A,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,発注書_送付,2024-04-08 11:16:03,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,購買依頼_作成,2024-04-08 11:46:27,担当者_F5,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,購買依頼_承認,2024-04-08 12:07:52,課長_D,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00439,発注書_作成,2024-04-08 13:04:11,購買_A,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,発注書_作成,2024-04-08 13:23:57,購買_D,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00158,購買依頼_作成,2024-04-08 13:35:08,担当者_E1,総務部,九州電子部品,904100,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,発注書_作成,2024-04-08 13:45:14,購買_E,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00290,購買依頼_作成,2024-04-08 14:32:27,担当者_B2,総務部,名古屋金属工業,476400,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,発注書_作成,2024-04-08 15:02:00,購買_B,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00199,見積依頼_送付,2024-04-08 15:49:14,購買_D,総務部,アジア商事,466700,中口,REQ-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,見積依頼_送付,2024-04-08 16:39:16,購買_E,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,購買依頼_承認,2024-04-08 17:09:58,課長_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00198,追加見積_依頼,2024-04-08 17:37:35,購買_A,情報システム部,北海道素材,42544100,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00072,発注書_承認,2024-04-09 08:06:23,課長_A,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00267,上位承認_エスカレーション,2024-04-09 08:18:43,部長_A,営業部,グローバルパーツJP,1264000,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-MISMATCH-INVFIX-INV2-MATCH2-PAPR-PAY
PO-2024-00072,発注書_送付,2024-04-09 08:36:37,購買_B,物流部,名古屋金属工業,382000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-DEF-RET-REDLV-INS2-INV-MATCH-PAPR-PAY
PO-2024-00460,発注書_承認,2024-04-09 08:38:31,課長_G,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,発注書_承認,2024-04-09 08:45:00,課長_B,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00488,購買依頼_承認,2024-04-09 08:48:57,課長_F,製造部,大阪精密製作所,8502800,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,購買依頼_承認,2024-04-09 08:50:15,課長_D,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00290,購買依頼_承認,2024-04-09 08:50:16,課長_C,総務部,名古屋金属工業,476400,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00439,発注書_承認,2024-04-09 08:51:26,課長_E,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00231,購買依頼_承認,2024-04-09 08:51:57,課長_D,製造部,中部機械製作所,21651000,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00158,購買依頼_承認,2024-04-09 08:58:59,課長_E,総務部,九州電子部品,904100,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,見積書_受領,2024-04-09 09:22:43,購買_E,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00040,発注書_送付,2024-04-09 09:45:10,購買_D,品質管理部,名古屋金属工業,32000,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,上位承認_エスカレーション,2024-04-09 10:08:33,部長_C,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,見積書_受領,2024-04-09 10:43:09,購買_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00460,発注書_送付,2024-04-09 10:44:56,購買_E,情報システム部,中部機械製作所,141100,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00439,発注書_送付,2024-04-09 11:54:03,購買_A,製造部,大阪精密製作所,415000,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,見積依頼_送付,2024-04-09 12:23:38,購買_D,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00267,見積依頼_送付,2024-04-09 12:29:20,購買_E,営業部,グローバルパーツJP,1264000,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-MISMATCH-INVFIX-INV2-MATCH2-PAPR-PAY
PO-2024-00290,見積依頼_送付,2024-04-09 12:48:50,購買_E,総務部,名古屋金属工業,476400,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00598,購買依頼_作成,2024-04-09 12:58:29,担当者_C5,営業部,東京部品工業,751600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00267,追加見積_依頼,2024-04-09 16:11:13,購買_E,営業部,グローバルパーツJP,1264000,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-MISMATCH-INVFIX-INV2-MATCH2-PAPR-PAY
PO-2024-00213,見積依頼_送付,2024-04-09 17:02:00,購買_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,価格交渉_実施,2024-04-10 08:20:53,購買_E,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00231,上位承認_エスカレーション,2024-04-10 08:22:50,部長_E,製造部,中部機械製作所,21651000,特別,REQ-APR1-ESC-URG-RFQ-ARFQ-QR-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00598,購買依頼_承認,2024-04-10 08:34:16,課長_D,営業部,東京部品工業,751600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,追加見積_依頼,2024-04-10 08:38:52,購買_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,サプライヤー_選定,2024-04-10 08:49:13,購買_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00108,購買依頼_作成,2024-04-10 09:44:07,担当者_F1,情報システム部,信越マテリアル,432800,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,発注書_作成,2024-04-10 11:31:23,購買_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,見積書_受領,2024-04-11 04:00:37,購買_D,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00108,購買依頼_承認,2024-04-11 08:34:38,課長_D,情報システム部,信越マテリアル,432800,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00488,上位承認_エスカレーション,2024-04-11 08:39:09,部長_D,製造部,大阪精密製作所,8502800,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,発注書_承認,2024-04-11 08:43:11,課長_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00115,発注書_送付,2024-04-11 10:49:56,購買_E,製造部,東北精密,143600,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00378,購買依頼_作成,2024-04-11 12:39:09,担当者_C1,研究開発部,名古屋金属工業,7161600,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00488,見積依頼_送付,2024-04-11 12:53:30,購買_A,製造部,大阪精密製作所,8502800,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00108,見積依頼_送付,2024-04-11 14:09:16,購買_E,情報システム部,信越マテリアル,432800,中口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00411,購買依頼_作成,2024-04-11 16:30:49,担当者_F3,情報システム部,中部機械製作所,60400,小口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,サプライヤー_選定,2024-04-11 16:52:23,購買_D,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00488,追加見積_依頼,2024-04-11 17:19:39,購買_A,製造部,大阪精密製作所,8502800,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,見積書_受領,2024-04-11 19:57:14,購買_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00139,納期_督促,2024-04-12 04:01:30,購買_E,製造部,大阪精密製作所,426300,中口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-REMIND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,サプライヤー_選定,2024-04-12 08:04:33,購買_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00496,発注書_作成,2024-04-12 08:22:26,購買_D,製造部,中部機械製作所,35900,小口,REQ-APR1-RFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00158,上位承認_エスカレーション,2024-04-12 08:26:16,部長_A,総務部,九州電子部品,904100,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00598,上位承認_エスカレーション,2024-04-12 08:39:43,部長_C,営業部,東京部品工業,751600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00378,購買依頼_承認,2024-04-12 08:53:58,課長_C,研究開発部,名古屋金属工業,7161600,高額,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-CONT-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00158,見積依頼_送付,2024-04-12 09:43:06,購買_D,総務部,九州電子部品,904100,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00411,購買依頼_差戻し,2024-04-12 10:23:14,課長_A,情報システム部,中部機械製作所,60400,小口,REQ-REJ-RESUB-APR1-RFQ-QR-SS-POC-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00213,発注書_作成,2024-04-12 13:46:32,購買_D,製造部,四国化学工業,723600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POREJ-POFIX-POAPR-POSND-PART-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00158,追加見積_依頼,2024-04-12 16:07:09,購買_D,総務部,九州電子部品,904100,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00598,見積依頼_送付,2024-04-12 16:21:06,購買_A,営業部,東京部品工業,751600,大口,REQ-APR1-ESC-RFQ-ARFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
PO-2024-00093,見積書_受領,2024-04-12 17:10:29,購買_E,製造部,東京部品工業,48200,小口,REQ-REJ-RESUB-APR1-RFQ-QR-NEG-QR2-SS-POC-POAPR-POSND-DLV-INS-INV-MATCH-PAPR-PAY
